entity_key,class_name,display_name,package,module,extends,abstract,entity,schema,table,photo_adapter_required,existing_actions,custom_action_candidates,eligibility,eligibility_reason,source_path
ais.database.model.file.FotoCalonPegawai,FotoCalonPegawai,Foto Calon Pegawai,ais.database.model.file,file,ais.database.model.file.FileFotoLain,False,True,public,foto_calon_pegawai,True,,,REVIEW_REQUIRED,membutuhkan adapter foto,ais\database\model\file\FotoCalonPegawai.java
ais.database.model.file.FotoCalonSiswa,FotoCalonSiswa,Foto Calon Siswa,ais.database.model.file,file,ais.database.model.file.FileFotoLain,False,True,public,foto_calon_siswa,True,,,REVIEW_REQUIRED,membutuhkan adapter foto,ais\database\model\file\FotoCalonSiswa.java
ais.database.model.file.FotoDosen,FotoDosen,Foto Dosen,ais.database.model.file,file,ais.database.model.file.FileFotoLain,False,True,public,foto_dosen,True,,,REVIEW_REQUIRED,membutuhkan adapter foto,ais\database\model\file\FotoDosen.java
ais.database.model.file.FotoGambarItem,FotoGambarItem,Foto Gambar Item,ais.database.model.file,file,ais.database.model.file.FileFoto,False,True,public,foto_gambar_item,True,,,REVIEW_REQUIRED,membutuhkan adapter foto,ais\database\model\file\FotoGambarItem.java
ais.database.model.file.FotoGambarKopSurat,FotoGambarKopSurat,Foto Gambar Kop Surat,ais.database.model.file,file,ais.database.model.file.FileFoto,False,True,public,foto_gambar_kop_surat,True,,,REVIEW_REQUIRED,membutuhkan adapter foto,ais\database\model\file\FotoGambarKopSurat.java
ais.database.model.file.FotoGambarProduk,FotoGambarProduk,Foto Gambar Produk,ais.database.model.file,file,ais.database.model.file.FileFotoLain,False,True,public,foto_gambar_produk,True,,,REVIEW_REQUIRED,membutuhkan adapter foto,ais\database\model\file\FotoGambarProduk.java
ais.database.model.file.FotoGambarSuratKeluar,FotoGambarSuratKeluar,Foto Gambar Surat Keluar,ais.database.model.file,file,ais.database.model.file.FileFoto,False,True,public,foto_gambar_surat_keluar,True,,,REVIEW_REQUIRED,membutuhkan adapter foto,ais\database\model\file\FotoGambarSuratKeluar.java
ais.database.model.file.FotoGambarSuratMasuk,FotoGambarSuratMasuk,Foto Gambar Surat Masuk,ais.database.model.file,file,ais.database.model.file.FileFoto,False,True,public,foto_gambar_surat_masuk,True,,,REVIEW_REQUIRED,membutuhkan adapter foto,ais\database\model\file\FotoGambarSuratMasuk.java
ais.database.model.file.FotoGambarTandaTanganPejabat,FotoGambarTandaTanganPejabat,Foto Gambar Tanda Tangan Pejabat,ais.database.model.file,file,ais.database.model.file.FileFoto,False,True,public,foto_gambar_tanda_tangan_pejabat,True,,,REVIEW_REQUIRED,membutuhkan adapter foto,ais\database\model\file\FotoGambarTandaTanganPejabat.java
ais.database.model.file.FotoGambarTandaTanganSuratKeluar,FotoGambarTandaTanganSuratKeluar,Foto Gambar Tanda Tangan Surat Keluar,ais.database.model.file,file,ais.database.model.file.FileFoto,False,True,public,foto_gambar_tanda_tangan_surat_keluar,True,,,REVIEW_REQUIRED,membutuhkan adapter foto,ais\database\model\file\FotoGambarTandaTanganSuratKeluar.java
