entity_key,class_name,display_name,package,module,extends,abstract,entity,schema,table,photo_adapter_required,existing_actions,custom_action_candidates,eligibility,eligibility_reason,source_path
ais.database.model.HasilUjianMahasiswa,HasilUjianMahasiswa,Hasil Ujian Mahasiswa,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,hasil_ujian_mahasiswa,False,ais\action\master\HasilUjianMahasiswaAction.java,onEvent|onReset,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\HasilUjianMahasiswa.java
ais.database.model.IkatanKerjaDosen,IkatanKerjaDosen,Ikatan Kerja Dosen,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,ikatan_kerja_dosen,False,ais\action\master\IkatanKerjaDosenAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\IkatanKerjaDosen.java
ais.database.model.InterviewCalonMahasiswa,InterviewCalonMahasiswa,Interview Calon Mahasiswa,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,interview_calon_mahasiswa,False,ais\action\master\InterviewCalonMahasiswaAction.java,onEvent,REVIEW_REQUIRED,nama mengindikasikan data transaksi/log/internal: View; mempunyai aksi khusus existing,ais\database\model\InterviewCalonMahasiswa.java
ais.database.model.ItemBiaya,ItemBiaya,Item Biaya,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,item_biaya,False,ais\action\master\ItemBiayaAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\ItemBiaya.java
ais.database.model.Jabatan,Jabatan,Jabatan,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,jabatan,False,ais\action\master\JabatanAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\Jabatan.java
ais.database.model.JabatanFungsionalDosen,JabatanFungsionalDosen,Jabatan Fungsional Dosen,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,jabatan_fungsional_dosen,False,ais\action\master\JabatanFungsionalDosenAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\JabatanFungsionalDosen.java
ais.database.model.JabatanKegiatanKedosenan,JabatanKegiatanKedosenan,Jabatan Kegiatan Kedosenan,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,jabatan_kegiatan_kedosenan,False,ais\action\master\JabatanKegiatanKedosenanAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\JabatanKegiatanKedosenan.java
ais.database.model.JabatanKegiatanKemahasiswaan,JabatanKegiatanKemahasiswaan,Jabatan Kegiatan Kemahasiswaan,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,jabatan_kegiatan_kemahasiswaan,False,ais\action\master\JabatanKegiatanKemahasiswaanAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\JabatanKegiatanKemahasiswaan.java
ais.database.model.JabatanOrganisasiDosen,JabatanOrganisasiDosen,Jabatan Organisasi Dosen,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,jabatan_organisasi_dosen,False,ais\action\master\JabatanOrganisasiDosenAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\JabatanOrganisasiDosen.java
ais.database.model.JabatanOrganisasiIntraKampus,JabatanOrganisasiIntraKampus,Jabatan Organisasi Intra Kampus,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,jabatan_organisasi_intra_kampus,False,ais\action\master\JabatanOrganisasiIntraKampusAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\JabatanOrganisasiIntraKampus.java
ais.database.model.JadwalChecklistPenilaianUmum,JadwalChecklistPenilaianUmum,Jadwal Checklist Penilaian Umum,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,jadwal_checklist_penilaian_umum,False,ais\action\master\JadwalChecklistPenilaianUmumAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\JadwalChecklistPenilaianUmum.java
ais.database.model.JadwalKegiatanKampus,JadwalKegiatanKampus,Jadwal Kegiatan Kampus,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,jadwal_kegiatan_kampus,False,ais\action\master\JadwalKegiatanKampusAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\JadwalKegiatanKampus.java
ais.database.model.JadwalPembayaran,JadwalPembayaran,Jadwal Pembayaran,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,jadwal_pembayaran,False,ais\action\master\JadwalPembayaranAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\JadwalPembayaran.java
ais.database.model.JadwalSeminarTugasAkhir,JadwalSeminarTugasAkhir,Jadwal Seminar Tugas Akhir,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,jadwal_seminar_tugas_akhir,False,ais\action\master\JadwalSeminarTugasAkhirAction.java,onEvent|onAddExternal,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\JadwalSeminarTugasAkhir.java
ais.database.model.JadwalSidangTugasAkhir,JadwalSidangTugasAkhir,Jadwal Sidang Tugas Akhir,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,jadwal_sidang_tugas_akhir,False,ais\action\master\JadwalSidangTugasAkhirAction.java,onEvent|onAddExternal,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\JadwalSidangTugasAkhir.java
ais.database.model.JadwalUjianPMB,JadwalUjianPMB,Jadwal Ujian P M B,ais.database.model,root,ais.database.model.VOPembelajaran,False,True,public,jadwal_ujian_pmb,False,ais\action\master\JadwalUjianPMBAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\JadwalUjianPMB.java
ais.database.model.JamPerkuliahan,JamPerkuliahan,Jam Perkuliahan,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,jam_perkuliahan,False,ais\action\master\JamPerkuliahanAction.java,onEvent|onAddExternal,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\JamPerkuliahan.java
ais.database.model.JenisCapaianJurusan,JenisCapaianJurusan,Jenis Capaian Jurusan,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,jenis_capaian_jurusan,False,ais\action\master\JenisCapaianJurusanAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\JenisCapaianJurusan.java
ais.database.model.JenisCatatanAdministrasi,JenisCatatanAdministrasi,Jenis Catatan Administrasi,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,jenis_catatan_administrasi,False,ais\action\master\JenisCatatanAdministrasiAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\JenisCatatanAdministrasi.java
ais.database.model.JenisCatatanMahasiswa,JenisCatatanMahasiswa,Jenis Catatan Mahasiswa,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,jenis_catatan_mahasiswa,False,ais\action\master\JenisCatatanMahasiswaAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\JenisCatatanMahasiswa.java
ais.database.model.JenisCatatanPegawai,JenisCatatanPegawai,Jenis Catatan Pegawai,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,jenis_catatan_pegawai,False,ais\action\master\JenisCatatanPegawaiAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\JenisCatatanPegawai.java
ais.database.model.JenisDiskonMahasiswa,JenisDiskonMahasiswa,Jenis Diskon Mahasiswa,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,jenis_diskon_mahasiswa,False,ais\action\master\JenisDiskonMahasiswaAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\JenisDiskonMahasiswa.java
ais.database.model.JenisEvaluasi,JenisEvaluasi,Jenis Evaluasi,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,jenis_evaluasi,False,ais\action\master\JenisEvaluasiAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\JenisEvaluasi.java
ais.database.model.JenisFormulirKegiatan,JenisFormulirKegiatan,Jenis Formulir Kegiatan,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,jenis_formulir_kegiatan,False,ais\action\master\JenisFormulirKegiatanAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\JenisFormulirKegiatan.java
ais.database.model.JenisKartuIdentitasMahasiswaBaru,JenisKartuIdentitasMahasiswaBaru,Jenis Kartu Identitas Mahasiswa Baru,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,jenis_kartu_identitas_mahasiswa_baru,False,ais\action\master\pmb\JenisKartuIdentitasMahasiswaBaruAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\JenisKartuIdentitasMahasiswaBaru.java
ais.database.model.JenisKegiatan,JenisKegiatan,Jenis Kegiatan,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,jenis_kegiatan,False,ais\action\master\JenisKegiatanAction.java,onPrasyarat|onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\JenisKegiatan.java
ais.database.model.JenisKegiatanMahasiswa,JenisKegiatanMahasiswa,Jenis Kegiatan Mahasiswa,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,jenis_kegiatan_mahasiswa,False,ais\action\master\JenisKegiatanMahasiswaAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\JenisKegiatanMahasiswa.java
ais.database.model.JenisKegiatanPrasyarat,JenisKegiatanPrasyarat,Jenis Kegiatan Prasyarat,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,jenis_kegiatan_prasyarat,False,ais\action\master\JenisKegiatanPrasyaratAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\JenisKegiatanPrasyarat.java
ais.database.model.JenisKelompokKegiatanKedosenan,JenisKelompokKegiatanKedosenan,Jenis Kelompok Kegiatan Kedosenan,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,jenis_kelompok_kegiatan_kedosenan,False,ais\action\master\JenisKelompokKegiatanKedosenanAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\JenisKelompokKegiatanKedosenan.java
ais.database.model.JenisKelompokKegiatanKemahasiswaan,JenisKelompokKegiatanKemahasiswaan,Jenis Kelompok Kegiatan Kemahasiswaan,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,jenis_kelompok_kegiatan_kemahasiswaan,False,ais\action\master\JenisKelompokKegiatanKemahasiswaanAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\JenisKelompokKegiatanKemahasiswaan.java
ais.database.model.JenisKelompokStatusMahasiswa,JenisKelompokStatusMahasiswa,Jenis Kelompok Status Mahasiswa,ais.database.model,root,ais.database.model.GeneralValueObject,False,True,public,jenis_kelompok_status_mahasiswa,False,ais\action\master\JenisKelompokStatusMahasiswaAction.java,onEvent,REVIEW_REQUIRED,mempunyai aksi khusus existing,ais\database\model\JenisKelompokStatusMahasiswa.java
